"           TIME(S)","              PRES","              TEMP","             SAT_G","             SAT_L"
  0.10000000000E-002,  0.77599537500E+006,  0.10885000229E+002,  0.00000000000E+000,  0.10000000000E+001
  0.30000000000E-002  0.77599537500E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.70000000000E-002  0.77599537500E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.15000000000E-001  0.77599537501E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.31000000000E-001  0.77599537502E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.63000000000E-001  0.77599537506E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.12700000000E+000  0.77599537523E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.25500000000E+000  0.77599537594E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.51100000000E+000  0.77599537794E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.10230000000E+001  0.77599538154E+006  0.10885000229E+002  0.00000000000E+000  0.10000000000E+001
  0.20470000000E+001  0.77599538307E+006  0.10885000230E+002  0.00000000000E+000  0.10000000000E+001
  0.40950000000E+001  0.77599532693E+006  0.10885000230E+002  0.00000000000E+000  0.10000000000E+001
  0.81910000000E+001  0.77599484598E+006  0.10885000230E+002  0.00000000000E+000  0.10000000000E+001
  0.16383000000E+002  0.77599300870E+006  0.10885000227E+002  0.00000000000E+000  0.10000000000E+001
  0.32767000000E+002  0.77598910125E+006  0.10885000220E+002  0.00000000000E+000  0.10000000000E+001
  0.65535000000E+002  0.77598385643E+006  0.10885000215E+002  0.00000000000E+000  0.10000000000E+001
  0.13107100000E+003  0.77597907016E+006  0.10885000226E+002  0.00000000000E+000  0.10000000000E+001
  0.26214300000E+003  0.77597592922E+006  0.10885000271E+002  0.00000000000E+000  0.10000000000E+001
  0.52428700000E+003  0.77597434161E+006  0.10885000379E+002  0.00000000000E+000  0.10000000000E+001
  0.90000000000E+003  0.77597377895E+006  0.10885000539E+002  0.00000000000E+000  0.10000000000E+001
